iter	RMSE
511	0.1225160121
512	0.1224125491
513	0.1222917237
514	0.1221424011
515	0.1219433067
516	0.1217753038
517	0.1216632666
518	0.1215975525
519	0.1215061738
520	0.1213761115
521	0.1211998542
522	0.1210477236
523	0.1208774287
524	0.1207718587
525	0.1206579301
526	0.1205445383
527	0.1204519904
528	0.120332209
529	0.1202156596
530	0.1200595191
531	0.119930072
532	0.1198266136
533	0.11967418
534	0.1195341389
535	0.1194994084
536	0.1193351382
537	0.1192291664
538	0.1191385833
539	0.119004411
540	0.1188564417
541	0.1187542747
542	0.1186599166
543	0.1185512332
544	0.118464013
545	0.1183624027
546	0.118276437
547	0.1180908745
548	0.1179435541
549	0.1178736028
550	0.1177426716
551	0.1176475746
552	0.1175766113
553	0.1174405568
554	0.1173121029
555	0.1171903438
556	0.1170497443
557	0.1169587374
558	0.1168500897
559	0.116795345
560	0.1166974266
561	0.1166088845
562	0.1165420478
563	0.1163904043
564	0.1163211248
565	0.1162574434
566	0.116142823
567	0.1160095531
568	0.1159213908
569	0.1157897577
570	0.1156899045
571	0.1155710365
572	0.115448202
573	0.1153596506
574	0.1151803184
575	0.1150541509
576	0.1149923537
577	0.1149083262
578	0.1148283728
579	0.1147038398
580	0.114596509
581	0.1145078917
582	0.1144393015
583	0.1143559349
584	0.1142882943
585	0.114185981
586	0.1141251675
587	0.1140130348
588	0.1138933408
589	0.1137822512
590	0.113718163
591	0.1136506896
592	0.1135429581
593	0.1134460643
594	0.1133078841
595	0.1131623292
596	0.1130627425
597	0.1129881568
598	0.1128825792
599	0.1128231847
600	0.1127467076
601	0.1127058762
602	0.1126136743
603	0.1125580033
604	0.1124857008
605	0.1123841282
606	0.1122775379
607	0.1121987842
608	0.1120978758
609	0.111992334
610	0.1118777031
611	0.1117826511
612	0.1116941942
613	0.1116104619
614	0.1115296605
615	0.1114322976
616	0.1113471207
617	0.1112699901
618	0.1111897565
619	0.1111214171
620	0.1110398499
621	0.1109804058
622	0.1109033413
623	0.1108320383
624	0.1107328449
625	0.1106605291
626	0.1105898346
627	0.1105033632
628	0.1104267572
629	0.1103552809
630	0.1102696657
631	0.1101713597
632	0.1100604419
633	0.1099571212
634	0.1099000474
635	0.1098270741
636	0.1097653699
637	0.1096807713
638	0.1095543598
639	0.1094791783
640	0.1094049107
641	0.1093707589
642	0.1092935395
643	0.1092404199
644	0.1091549187
645	0.1090828303
646	0.1090236888
647	0.1089531271
648	0.1089008224
649	0.108841296
650	0.1087572289
651	0.1086867436
652	0.1086109719
653	0.1085562559
654	0.1084584454
655	0.1083810457
656	0.1082955449
657	0.1082307315
658	0.1081570167
659	0.1080593824
660	0.1079649291
661	0.1078823993
662	0.1078191056
663	0.1077277788
664	0.1076392374
665	0.1075756301
666	0.1074970274
667	0.1074330631
668	0.1073920619
669	0.1073013878
670	0.1072114353
671	0.1071480907
672	0.107080354
673	0.1070150039
674	0.1069301585
675	0.1068798266
676	0.106803078
677	0.1066982393
678	0.1066112329
679	0.1065339431
680	0.1064656498
681	0.1064169982
682	0.1063342772
683	0.1062642497
684	0.1062028018
685	0.1061292854
686	0.1060806056
687	0.1060231712
688	0.1059669849
689	0.1058930886
690	0.1057848411
691	0.1057061336
692	0.1056347916
693	0.1055861007
694	0.1055173609
695	0.1054793978
696	0.1053788277
697	0.1053288307
698	0.1052821087
699	0.1052214232
700	0.1051410635
701	0.1050808214
702	0.1050226958
703	0.1050073951
704	0.1049689367
705	0.1049118621
706	0.1048386808
707	0.1047417366
708	0.1046894578
709	0.1046269119
710	0.1045616529
711	0.1045474277
712	0.1044889274
713	0.1044425863
714	0.1043722253
715	0.1043251672
716	0.1042749569
717	0.104230639
718	0.104185606
719	0.1041256333
720	0.1040604276
721	0.1039982844
722	0.103942103
723	0.1038714256
724	0.1038143654
725	0.1037620304
726	0.1037116861
727	0.1036605365
728	0.1036018485
729	0.1035272429
730	0.1034552958
731	0.1034072076
732	0.1033387342
733	0.1032848439
734	0.1032278309
735	0.1031791089
736	0.1031337363
737	0.1030785918
738	0.1030397448
739	0.1029861242
740	0.1029504972
741	0.1028979174
742	0.1028315946
743	0.1027664124
744	0.1027150107
745	0.1026656924
746	0.1025979415
747	0.1025535097
748	0.1025014935
749	0.1024553766
750	0.1024100107
751	0.1023710753
752	0.1023125259
753	0.1022473562
754	0.1022003098
755	0.1021319609
756	0.1020691393
757	0.1020309753
758	0.1019773965
759	0.1019304276
760	0.1018877504
